Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
DM1,Diego Martin,North Slope,Pore-DAB*603,Pore-DAB*558,Pore-DAB*582,Pore-DAB*104,Pore-DAB*103,,,,,8,8,14,9,9,,,,,5,3
DM10,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*613,Pore-DAB*104,,,,,,,14,15,9,,,,,,,3,3
DM11,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*613,Pore-DAB*104,,,,,,,14,15,9,,,,,,,3,3
DM12,Diego Martin,North Slope,Pore-DAB*602,Pore-DAB*103,Pore-DAB*539,,,,,,,8,9,13,,,,,,,3,3
DM13,Diego Martin,North Slope,Pore-DAB*626,Pore-DAB*582,Pore-DAB*637,Pore-DAB*103,,,,,,6,14,9,9,,,,,,4,3
DM14,Diego Martin,North Slope,Pore-DAB*613,Pore-DAB*582,Pore-DAB*103,Pore-DAB*104,,,,,,15,14,9,9,,,,,,4,3
DM15,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*104,Pore-DAB*539,,,,,,,14,9,13,,,,,,,3,3
DM17,Diego Martin,North Slope,Pore-DAB*602,Pore-DAB*544,Pore-DAB*103,,,,,,,8,15,9,,,,,,,3,3
DM18,Diego Martin,North Slope,Pore-DAB*603,Pore-DAB*613,Pore-DAB*558,,,,,,,8,15,8,,,,,,,3,2
DM19,Diego Martin,North Slope,Pore-DAB*467,Pore-DAB*582,Pore-DAB*371,,,,,,,8,14,9,,,,,,,3,3
DM2,Diego Martin,North Slope,Pore-DAB*103,Pore-DAB*582,Pore-DAB*613,,,,,,,9,14,15,,,,,,,3,3
DM20,Diego Martin,North Slope,Pore-DAB*544,Pore-DAB*103,Pore-DAB*582,,,,,,,15,9,14,,,,,,,3,3
DM21,Diego Martin,North Slope,Pore-DAB*613,Pore-DAB*582,Pore-DAB*104,,,,,,,15,14,9,,,,,,,3,3
DM22,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*613,,,,,,,,14,15,,,,,,,,2,2
DM23,Diego Martin,North Slope,Pore-DAB*613,Pore-DAB*582,,,,,,,,15,14,,,,,,,,2,2
DM24,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*103,Pore-DAB*539,,,,,,,14,9,13,,,,,,,3,3
DM25,Diego Martin,North Slope,Pore-DAB*544,Pore-DAB*582,Pore-DAB*104,,,,,,,15,14,9,,,,,,,3,3
DM26,Diego Martin,North Slope,Pore-DAB*602,Pore-DAB*103,Pore-DAB*582,,,,,,,8,9,14,,,,,,,3,3
DM3,Diego Martin,North Slope,Pore-DAB*467,Pore-DAB*637,,,,,,,,8,9,,,,,,,,2,2
DM5,Diego Martin,North Slope,Pore-DAB*467,Pore-DAB*582,Pore-DAB*103,,,,,,,8,14,9,,,,,,,3,3
DM6,Diego Martin,North Slope,Pore-DAB*544,Pore-DAB*613,,,,,,,,15,15,,,,,,,,2,1
DM7,Diego Martin,North Slope,Pore-DAB*603,Pore-DAB*558,Pore-DAB*537,Pore-DAB*104,Pore-DAB*103,,,,,8,8,10,9,9,,,,,5,3
DM8,Diego Martin,North Slope,Pore-DAB*582,Pore-DAB*613,Pore-DAB*104,Pore-DAB*103,,,,,,14,15,9,9,,,,,,4,3
DM9,Diego Martin,North Slope,Pore-DAB*103,Pore-DAB*582,Pore-DAB*539,,,,,,,9,14,13,,,,,,,3,3
