"","Location","Simulation_Mean","Simulation_Median","Simulation_SD","observed"
"1","5th Company",0.437763084129622,0.435093042984754,0.058436662616699,0.399621234396117
"2","Arima 1",0.485773462437517,0.482581118487379,0.0515104224816566,0.256252387550891
"3","Arima 2",0.581655575826712,0.582595144163038,0.0666454797313903,0.388202383503775
"4","Aripo 1",0.508208383212156,0.504119936383984,0.0601783085966556,0.543878677387374
"5","Aripo 2",0.465471361931304,0.461349540481688,0.0554000927289338,0.269039800954105
"6","Barbados",0.562830316550331,0.558943906474656,0.0862497493137191,0.32839954455235
"7","Basse Terre",0.542628179163582,0.538492228204679,0.0745076305304149,0.75595312510739
"8","Cumana",0.850201202391987,0.857585249188316,0.0541809396749519,0.904416296885769
"9","Curaguate",0.529279107796924,0.532283384010102,0.0665548035346732,0.326674768918904
"10","Damier 1",0.499319443529348,0.499483798468404,0.0543040194779277,0.284458421278421
"11","Damier 2",0.54687471283529,0.546697672968056,0.0589768856221178,0.346039039437404
"12","Diego Martin",0.546634395684175,0.547744873686111,0.0679629431000692,0.36307614282244
"13","El cedro 1",0.627221718758427,0.625944523863157,0.0678018608682342,0.431709410372695
"14","El cedro 2",0.493140768560414,0.491780422471784,0.054830638396361,0.294042521976409
"15","Faecal Dump Road",0.483985921211482,0.482719550871565,0.0560656633409065,0.305588188219635
"16","Guanapo 1",0.515914073719729,0.515801130825908,0.0596528036103071,0.350758340644794
"17","Guanapo 2",0.452819876814249,0.454111590975401,0.0474234006654173,0.278905777752325
"18","Guayguayare Rd, pond",0.447761698628038,0.444430005279576,0.0504950718749551,0.297586363384028
"19","La Seiva",0.402738328921704,0.400981363988184,0.0417866315880751,0.42471852050879
"20","Las Cuevas",0.551924131488728,0.549054848547677,0.0649708723423722,0.342290620818921
"21","Marianne 10",0.470017933521728,0.465806636778015,0.0568038863601623,0.793659896861477
"22","Marianne 11",0.516241674098851,0.514374681309613,0.0658246083856124,0.809594960690433
"23","Marianne 16",0.584738494700362,0.582364005470694,0.0618288687181804,0.376778757314182
"24","Marianne 3",0.612452763186127,0.613277056453257,0.0624143625626909,0.427334906165561
"25","Marianne 4",0.620778107508592,0.621512359451853,0.0627292843573759,0.416906111144348
"26","Matura",0.472214673066778,0.470825592549604,0.0546711483982813,0.359577034650797
"27","Mission River",0.688561712959222,0.692005577314428,0.0682863353153711,0.721592752749464
"28","Mondesir",0.461006775344814,0.459205046421417,0.0576599605708591,0.313369180932416
"29","Morne River",0.418776316066225,0.416922181625918,0.0412211325312337,0.293128167804443
"30","Oropuche South",0.416663089240122,0.414035327350322,0.0393687633987615,0.294857262868393
"31","P. picta",0.528749751014279,0.525638502206107,0.0906836349596295,0.277916956204596
"32","Paria 12",0.519606043953437,0.517991631858305,0.0619794206624643,0.392892289265449
"33","Paria 13",0.488786586624636,0.488035400313274,0.0569285256817959,0.349310303940855
"34","Paria 3",0.509317065078068,0.510297257093611,0.0585624029647255,0.416607966886419
"35","Paria 7",0.548929239383082,0.548859855257442,0.0623921230874762,0.354611646454284
"36","Paria 8",0.535411168125988,0.536907841336106,0.0615721877990155,0.371385412757919
"37","Pitch lake",0.591183974544466,0.597339403110148,0.069234612284663,0.223925167376068
"38","Pitch Lake",0.594530468922109,0.599311225237571,0.0672332037101708,0.271791090569202
"39","Point Fortin 1",0.50776080880623,0.503340511403504,0.0682336330815362,0.363950192142396
"40","Point Fortin 2",0.451225004964835,0.448292249213004,0.0652091680595504,0.303435518404621
"41","Poole River",0.359931255392167,0.356651144477315,0.0692435096692572,0.204520883930433
"42","Quare 1",0.45738579996736,0.456283286662465,0.0478312487764031,0.369298185349422
"43","Quare 2",0.422486168793505,0.417583033530777,0.0466471954260692,0.288558450928911
"44","San Souci",0.472526337980484,0.472354572930509,0.0544300398910084,0.271413129468279
"45","Shark river",0.653395310604438,0.653360466401638,0.0720760477757404,0.43264580046274
"46","Silver Stream",0.461916204630923,0.463478498733448,0.103010119894233,0.406933647616471
"47","Snake River",0.477435563142245,0.476604830051114,0.0593556987154239,0.288344643617216
"48","Stollmeyer",0.463682386536063,0.462829919376882,0.0565767178859142,0.300920406510248
"49","Tompire",0.647729108099104,0.649585982430397,0.068643715251389,0.712897502706842
"50","Turure 2",0.416665563272043,0.415663466212786,0.0416272153764088,0.273336085689244
"51","Turure 3",0.455428649308048,0.453994201998046,0.0494649439847268,0.292407943586989
"52","Vance River",0.436626551034939,0.435998049473704,0.0423169347450492,0.31888008744108
"53","Windward Rd.",0.541753795297148,0.543349337172291,0.0870771375024781,0.289777286043697
"54","Yarra 1",0.666388572561723,0.666828238938461,0.0597373391855889,0.415338530468022
"55","Yarra 2",0.544569063579078,0.545610882387916,0.0597241231839644,0.337560982394459
