"","Diego Martin","Curaguate","Las Cuevas","Yarra 1","Yarra 2","Damier 1","Damier 2","Marianne 16","Marianne 3","Marianne 4","Marianne 10","Marianne 11","Paria 12","Paria 3","Paria 13","Paria 7","Paria 8","Shark river","San Souci","Mission River","Tompire","Cumana","Arima 1","Arima 2","El cedro 1","El cedro 2","Guanapo 1","Guanapo 2","Aripo 1","Aripo 2","Quare 1","Quare 2","Turure 2","Turure 3","La Seiva","Matura","Faecal Dump Road","Poole River","Guayguayare Rd, pond","Basse Terre","Oropuche South","5th Company","Mondesir","Silver Stream","Morne River","Pitch Lake","Pitch lake","Vance River","Stollmeyer","Point Fortin 1","Point Fortin 2","Snake River","Windward Rd.","Barbados","P. picta"
"Diego Martin",0,0.313077270368229,0.321939003766552,0.491927024130184,0.335834658904867,0.251874920114964,0.380718207552303,0.397411824417518,0.37469037746362,0.359631638021957,0.734586103561506,0.780415430267063,0.373162834466278,0.458379142858617,0.284675412918899,0.312180688746493,0.298657809863163,0.1824867863066,0.153960758847545,0.790416501388338,0.816849440842187,0.912710115010322,0.187625964563887,0.459756071798266,0.372706692280774,0.277773194708785,0.31553776073093,0.29386807767878,0.520571455856889,0.214415254884772,0.419004350722209,0.347998853591351,0.210200182341601,0.277423379652782,0.316572359780261,0.259306842934409,0.319510085769372,0.0584336418428149,0.340619996245806,0.874598588386813,0.189677911981119,0.153759820426487,0.368446720312119,0.509400356224025,0.373027134830947,0.33021014589747,0.26762654282805,0.428780034368664,0.383753207981983,0.298202720932179,0.319596156701381,0.208174979687049,0.291248348997183,0.23667130273528,0.219103767742575
"Curaguate",0.313077270368229,0,0.0142386227656489,0.326704471442342,0.277523292042174,0.205918871321612,0.284943485775902,0.187445975536157,0.452090093418422,0.454494643688868,0.995786994502789,1,0.389181277158078,0.380268386089921,0.354970484916525,0.400518356504963,0.412561854018583,0.248686264926842,0.246238156381916,0.672572063380694,0.64026027966219,0.699530516431925,0.15136476426799,0.38249588011628,0.430220915081968,0.240358181810527,0.331627467191136,0.25044916338365,0.524516307276522,0.156089719053816,0.266120895316034,0.221289473839456,0.169687840683072,0.246835772696494,0.547820218302638,0.0837833539918046,0.299887899436978,0.18070358201779,0.269343041850161,0.859446450060168,0.205755395683453,0.440011045147038,0.0770064096777107,0.488991573797227,0.175028286985,0.19216697445904,0.0876298050646745,0.205159658067237,0.207444853854023,0.431696453740768,0.272471345264428,0.165479369002786,0.180825925509171,0.200873362445415,0.0675195451314856
"Las Cuevas",0.321939003766552,0.0142386227656489,0,0.328952635455115,0.290862707374069,0.215552241344582,0.288968291431015,0.212264588334943,0.475853324349285,0.46238498184134,0.99770229811713,1,0.401770196131794,0.397927244905057,0.36974868464498,0.433189523151106,0.457769072023614,0.208369430785501,0.239959051533749,0.709988753171344,0.70584842259253,0.784849843119677,0.175308764200678,0.393576899677311,0.416068205025771,0.234435737169324,0.320465980993964,0.253054236792299,0.538781629753079,0.166349168153897,0.323026611692717,0.260058275934556,0.155007126280348,0.25019311647069,0.567989630337887,0.130824203595791,0.306786559581695,0.195480787137625,0.28897018553608,0.871056873129173,0.224668090541252,0.480155532980699,0.0880690625521668,0.506058857472591,0.197684413103958,0.21098433571843,0.123336687912334,0.223620009457711,0.213997587517348,0.423234800953314,0.276823696234442,0.198204960736056,0.157246252805992,0.228149829738933,0.108177119013515
"Yarra 1",0.491927024130184,0.326704471442342,0.328952635455115,0,0.0378490251633151,0.0838049729922833,0.0201289053107785,0.400650829641846,0.185177950806422,0.174926251412713,0.966631744094412,0.983349926227666,0.0839651214010848,0.0151316205985819,0.161338675324119,0.194332480970404,0.220573256993734,0.389738295960227,0.310127939954846,0.837396333989684,0.871391981257188,0.986741775855093,0.342011365046389,0.54582479869306,0.516496351073487,0.402230485824164,0.466276307693839,0.402204948659473,0.712927209316417,0.381856481067992,0.518258058142314,0.371648245323451,0.347594308707065,0.422897239702817,0.626677369384573,0.416590007764125,0.456201235592505,0.285188389946076,0.356874741793262,0.954498341261035,0.332346632532153,0.550818251088788,0.409905890184313,0.644697638235918,0.460186144724138,0.174620345665611,0.138210372210639,0.471711190115391,0.443650351304908,0.537471473523149,0.48103387764964,0.426350518671775,0.34048796933318,0.460954446854664,0.374076969672834
"Yarra 2",0.335834658904867,0.277523292042174,0.290862707374069,0.0378490251633151,0,0.00745202125325573,0.000397523602040595,0.369207422395499,0.0844227285871425,0.073766416874649,0.829695314508697,0.868919727050955,0.0171691572873257,0.00717880326353448,0.050765280254229,0.0729614352088249,0.0981606471046067,0.345767738657045,0.180897425623363,0.830796688548367,0.850585893368257,1,0.250954447755853,0.504597582512214,0.489006553866416,0.337699682655919,0.325049229987967,0.315735624081493,0.650121744481479,0.291359365736476,0.46915139717432,0.305838637445986,0.284610536748408,0.35598508584267,0.510002893220787,0.360075402542835,0.377162470487706,0.144555644672747,0.270635988828713,0.896113709192772,0.238866773018966,0.378257032467665,0.328961855701759,0.518218713763268,0.353566555217696,0.139176957820915,0.076170430627453,0.380055781734599,0.350739802530906,0.384120767897543,0.340701113587203,0.350786305922154,0.267111294786812,0.390826724045951,0.299424018265367
"Damier 1",0.251874920114964,0.205918871321612,0.215552241344582,0.0838049729922833,0.00745202125325573,0,0.0140969326939645,0.285990239177071,0.0891646324539254,0.07473470988412,0.773528278123211,0.815262989825111,0.0327939635170285,0.0515128704806532,0.0324307739074515,0.0591729510846667,0.0913310008377273,0.29392225378251,0.0912829952893452,0.783731567027796,0.813251238389112,0.966339208321294,0.160935184959465,0.412571731590303,0.434761592267399,0.259117734298205,0.247322198087375,0.237692600525853,0.623805474966581,0.199393569738807,0.399691336323581,0.230430323028451,0.188008931599415,0.262868973814205,0.468081564696791,0.281045858789955,0.296396004581104,0.0598033024387523,0.235237671858252,0.898317055436859,0.191194001670065,0.345868179740232,0.257413766327886,0.456241270534609,0.281458217151778,0.101237009403668,0.0369714588583017,0.315936648070872,0.271216797987608,0.266070499107471,0.24450168933603,0.263543326230218,0.174187040772889,0.322845280639058,0.187897243659418
"Damier 2",0.380718207552303,0.284943485775902,0.288968291431015,0.0201289053107785,0.000397523602040595,0.0140969326939645,0,0.34404433185722,0.0949218972200819,0.0814394259841202,0.829563933406609,0.864095719731535,0.019619557228179,0.00117565683718446,0.0598725387955447,0.0890968972993729,0.127094332265752,0.353991640912047,0.173368984571419,0.787956481756427,0.84411309271766,0.991016829915039,0.256183756950906,0.474074009860757,0.496028701112611,0.345408873366087,0.339197105073452,0.321073248050102,0.701634112067933,0.301583525728298,0.479276780985035,0.307260838704673,0.263282545199108,0.341640408730252,0.539270038001239,0.360839932657753,0.385141414899935,0.16503476931499,0.297886864067944,0.949728172439488,0.275098970668734,0.448887258314551,0.351600846354232,0.569190523081303,0.37802985438117,0.138043404024959,0.081159945435469,0.403213819502292,0.35867182930351,0.360694901749943,0.341470969976828,0.369588697335921,0.259828694059674,0.432443647910703,0.289054042883179
"Marianne 16",0.397411824417518,0.187445975536157,0.212264588334943,0.400650829641846,0.369207422395499,0.285990239177071,0.34404433185722,0,0.459465015243887,0.467252325380871,0.561831879516802,0.520854233945279,0.418134758072458,0.420339731575432,0.388677554427624,0.424937913153024,0.426144141665967,0.375030453770268,0.323110543353273,0.832128016866259,0.270272558865732,0.694944895400251,0.194960155985079,0.467066054719605,0.513299484304217,0.240076574659804,0.39474423366756,0.249931483255579,0.705647486507986,0.190977376188715,0.332714176670462,0.275282567074613,0.189825803070544,0.320592353368013,0.429154453209007,0.191195914991837,0.367654056344129,0.283095804834935,0.341289746216891,0.836265491119655,0.336683291813448,0.493020885518337,0.336502519096375,0.611898686324544,0.382679168102609,0.291915040746479,0.203876734383716,0.414521457632675,0.387145714303516,0.472357449099082,0.420271344232516,0.214681672559888,0.2901327759981,0.389204545454545,0.174027918228144
"Marianne 3",0.37469037746362,0.452090093418422,0.475853324349285,0.185177950806422,0.0844227285871425,0.0891646324539254,0.0949218972200819,0.459465015243887,0,0.00672998256551127,0.585017973485803,0.66582378193572,0.0186063486469801,0.0579131986392306,0.00161036045920504,0.018136378990107,0.0222410188469893,0.536739907180792,0.212001622830167,0.879956177388777,0.854485355079569,0.918065109757701,0.35721780115952,0.636620755274915,0.651831784826004,0.525707655586796,0.373018992581937,0.491934472355623,0.788957953018087,0.447689335794611,0.585729168680989,0.432982750398564,0.46714495155627,0.500209470612761,0.625287440399903,0.478918577386934,0.509514282626207,0.275841942013477,0.463550234240291,0.972263672647514,0.444399446771741,0.451697047139267,0.540368199722345,0.589394912461955,0.537982440142953,0.328710710525733,0.249286616456939,0.583625009136017,0.536534147252785,0.316452684385347,0.409065646229126,0.530822730961864,0.421555918104929,0.585380647528951,0.400609205776173
"Marianne 4",0.359631638021957,0.454494643688868,0.46238498184134,0.174926251412713,0.073766416874649,0.07473470988412,0.0814394259841202,0.467252325380871,0.00672998256551127,0,0.578702351860382,0.659828315427153,0.0155692662966658,0.0567078726429516,0.0138737693564508,0.0231102589964711,0.0358392214986389,0.502196294945917,0.182203528502783,0.869660444769807,0.898982211962603,1,0.339664174468722,0.624091948389227,0.617972655259475,0.49077042279752,0.344512086096281,0.465183296055516,0.77071909690231,0.425069430437683,0.601201694514256,0.433663288370919,0.433596542153103,0.472632428583989,0.615298120032728,0.502935617629516,0.481968761768592,0.247822887776637,0.436798477833724,0.975054608644812,0.426666500193525,0.441280399085429,0.519273627734214,0.56733526964154,0.516414862300363,0.31990582570675,0.244038596620947,0.558725315444611,0.509272043288642,0.290032803046079,0.379929555958222,0.524649038947832,0.386059545731229,0.568211920529801,0.407051359080968
