"","Diego Martin","Curaguate","Las Cuevas","Yarra 1","Yarra 2","Damier 1","Damier 2","Marianne 16","Marianne 3","Marianne 4","Marianne 10","Marianne 11","Paria 12","Paria 3","Paria 13","Paria 7","Paria 8","Shark river","San Souci","Mission River","Tompire","Cumana","Arima 1","Arima 2","El cedro 1","El cedro 2","Guanapo 1","Guanapo 2","Aripo 1","Aripo 2","Quare 1","Quare 2","Turure 2","Turure 3","La Seiva","Matura","Faecal Dump Road","Poole River","Guayguayare Rd, pond","Basse Terre","Oropuche South","5th Company","Mondesir","Silver Stream","Morne River","Pitch Lake","Pitch lake","Vance River","Stollmeyer","Point Fortin 1","Point Fortin 2","Snake River","Windward Rd.","Barbados","P. picta"
"Diego Martin",0,0.0886192815469811,0.083079776272487,0.0740382694262415,0.0696340581063285,0.0674142467473377,0.0743379144407548,0.0752938113124686,0.0684227963029291,0.0778436746881704,0.0729612221543217,0.0699086729203522,0.0856936437011421,0.0934314031980545,0.0713708089497448,0.075597588442648,0.0854509361305346,0.0655168707590912,0.0656279171924963,0.0715105581221813,0.0630009898780405,0.042171375081197,0.0690117381692128,0.0743962071212243,0.0764823715904242,0.0731321007734617,0.0696288246870544,0.0748683600304447,0.0789371329929065,0.0738853971842501,0.0768222655858917,0.0900513995985173,0.0757229849974027,0.0733049502773318,0.0877398312630953,0.0776097833982541,0.0779816592447969,0.11695248017346,0.0734091859493656,0.0555242210631171,0.0668065601483013,0.101812628061124,0.0944944280607006,0.200766737014253,0.0759365258276645,0.0962339018100308,0.0954604867395158,0.0734403825588847,0.0972385914611254,0.109687717006637,0.115996895994265,0.0883926248460902,0.122144367365896,0.133549807157093,0.127701211235709
"Curaguate",0.0886192815469811,0,0.0411853765369127,0.0739251189991354,0.0729902692970764,0.0658280884824607,0.0764446242361943,0.0533710925608089,0.0652147813460268,0.0848293373210475,0.00431347578647338,1.49522511216306e-16,0.0968890769189046,0.104684927476211,0.0736749493411181,0.0770520640118686,0.0914002607721638,0.0845198272892571,0.0738375530844868,0.102299759644668,0.0935293426188669,0.0975746666113113,0.0546810756239617,0.0721514882027633,0.0803569894430669,0.0665257566118134,0.0726260560120214,0.0635639661382337,0.0875629178754856,0.0702388776634267,0.0700047675665248,0.0843417143137663,0.0692856066308748,0.0671250360063784,0.101860387911979,0.0596762643331251,0.0751593005512319,0.143730101366075,0.0714518039611401,0.0625281492286652,0.0741809273286927,0.13263000012902,0.0814224486827215,0.227778416989246,0.0570846438508831,0.0974126927662726,0.0917148032863268,0.0550319520659562,0.090527449517852,0.134856879506437,0.139637301597966,0.093430423178135,0.142468861190258,0.179109054084752,0.126544753491166
"Las Cuevas",0.083079776272487,0.0411853765369127,0,0.0523782187254074,0.057855785794434,0.0418210385179349,0.0544138277888574,0.0446863185010478,0.0564214566004483,0.0782139614887562,0.00275144410221509,1.6253085475909e-16,0.092994612994496,0.0966277550551831,0.0687768051158802,0.0683134925305496,0.0886059479596172,0.0588695275533516,0.0616300637277071,0.0908680099328252,0.0847388072601862,0.0608547384167775,0.0430472122782251,0.0700009353650131,0.0787680149116006,0.0528927942019168,0.0578547102288703,0.0512127688673005,0.0775774934960234,0.0629257108030776,0.0678380480369726,0.0840384564097809,0.0457061117452994,0.0600575820627142,0.096057799511933,0.0536950979949454,0.0720395047937892,0.148700580181753,0.0618411950168774,0.0518853618155343,0.0634536652061406,0.130985577043334,0.077495397661331,0.233212994119194,0.0528150481005904,0.102218955630012,0.0863507389363807,0.0477995321286195,0.0881017476078028,0.138810036462514,0.137964486775112,0.0935396919340672,0.137911014504985,0.177401196761053,0.132485056019378
"Yarra 1",0.0740382694262415,0.0739251189991354,0.0523782187254074,0,0.0218636315958556,0.0293961234977835,0.0178644662693569,0.0498527641164703,0.0430742597876983,0.0608297787247331,0.0162402791502266,0.00885952493039939,0.0522840135652951,0.029550154105773,0.0522373403023915,0.0534612454011277,0.0723665298589693,0.0588548819948131,0.059801728516989,0.0649576677400981,0.0541497071269516,0.00943959030699809,0.0533597120835094,0.0598207991904447,0.0637123064883054,0.0574287013986769,0.0554514402034867,0.054096443499334,0.0600349760093565,0.0634075030219142,0.0610792447691346,0.0773186295329251,0.0536434360957308,0.0560134575088554,0.0816964996780375,0.0625120745484087,0.0613450990451701,0.12587795524633,0.060073982040891,0.0289315309121277,0.0631257173719915,0.117265030671729,0.0827951582497371,0.177472501387212,0.0528525862613932,0.0865071401857851,0.0805959456781904,0.0518099636940264,0.0819268249403356,0.111340079616759,0.112650651710554,0.0833224235272442,0.111162330609503,0.141920060852031,0.116053782724631
"Yarra 2",0.0696340581063285,0.0729902692970764,0.057855785794434,0.0218636315958556,0,0.0237262813371325,0.0148642927667941,0.0534168069729237,0.0388926201939587,0.0482592076296667,0.0441602757687245,0.0415124590774039,0.0358375764105902,0.0331003608341296,0.038543253303823,0.0429394057355036,0.0590008772397989,0.0627203057741586,0.0569562724905379,0.0685391301335212,0.0608893857260143,8.11704800082061e-17,0.0549242408271718,0.0646175768996213,0.0690084857891174,0.0635590128671732,0.0572770009356824,0.0579239138752473,0.0691925151192691,0.0645875318024346,0.069415273943029,0.0803625057481845,0.0583310182277703,0.0626609109113195,0.0894553207087501,0.0677750199552223,0.0689813052155224,0.119937340244158,0.0595017323087778,0.0394341464407743,0.0639548224636725,0.118062688706215,0.0795371150178925,0.187400330197731,0.0594746891756049,0.0812967422870022,0.0704397599118427,0.0581331049676316,0.0812565329933494,0.109898869671854,0.112466774900621,0.0822194602902855,0.114434025147087,0.151135492480961,0.123609821325796
"Damier 1",0.0674142467473377,0.0658280884824607,0.0418210385179349,0.0293961234977835,0.0237262813371325,0,0.0193085813368105,0.0445003451754982,0.0392693092277493,0.0458336239437724,0.042948226424977,0.0439336746675454,0.0419520521493303,0.0528565589337329,0.0342730563945191,0.0417693036287497,0.0604737221671796,0.0516944899208305,0.0395864131923109,0.0774631032113579,0.0660240306035942,0.0150353528829015,0.0374284141402792,0.0617024653548914,0.0694946929844249,0.0498199532911489,0.0490998558785441,0.045360953639856,0.0727952579085242,0.0535905180392254,0.0671705320751817,0.0761817764669147,0.0419248639334787,0.0552862477958977,0.0959007909559779,0.0580698985536013,0.0639885613805248,0.118137232417955,0.0557969583618783,0.038785473670196,0.0542809714899877,0.128832594858684,0.0779136899239085,0.210296755868312,0.0473743368083413,0.0746873305329069,0.0598353355079041,0.0466007974644669,0.0836214297466971,0.109265333722777,0.117265187678922,0.0819682248512422,0.116148409704884,0.16053189950699,0.126053620382285
"Damier 2",0.0743379144407548,0.0764446242361943,0.0544138277888574,0.0178644662693569,0.0148642927667941,0.0193085813368105,0,0.0500561448319205,0.0399831473313258,0.0511545963377616,0.039475142740017,0.0371696504631119,0.0388349844198513,0.0339771381586984,0.0408569466536073,0.0468837166115334,0.062767699581628,0.06173681430649,0.0511718953793032,0.0706678291487387,0.0648129555356155,0.00898476686567156,0.0507334971551303,0.0636931759913725,0.0684778971622674,0.0574179687623591,0.0556465119484145,0.0538031355490324,0.0675312282751714,0.0641183466074372,0.0654198167960545,0.0794300029497112,0.0529114002324211,0.0600033309229204,0.0877200436356622,0.0639255681443996,0.0646684957672557,0.120769981857847,0.0578007407686799,0.0337031298426609,0.0623145103686696,0.124216576306523,0.0867102818647192,0.192896117289523,0.0561074160250397,0.0844695069561944,0.0721727036499508,0.0535987457571656,0.0854611555081437,0.106172354790359,0.10813549232,0.0837462115882124,0.116501246604074,0.155367991189325,0.122580093093371
"Marianne 16",0.0752938113124686,0.0533710925608089,0.0446863185010478,0.0498527641164703,0.0534168069729237,0.0445003451754982,0.0500561448319205,0,0.0528469741862512,0.0655329345247811,0.0585520707748088,0.061109382251927,0.0760838061052008,0.0826772448535079,0.0605715392830534,0.0624275285596331,0.0764683693832131,0.0562296015367644,0.0561275953674665,0.0682198264761473,0.0742694156299772,0.0443002614649597,0.0425099797873265,0.0623015919411623,0.0667731751503568,0.0466061780304003,0.053787156743748,0.0445625392725118,0.0660966380325601,0.054316941250917,0.0576111582556324,0.0745095130201673,0.0447308043754776,0.0555394201402983,0.088858835985285,0.0428753307393596,0.0641508042399201,0.11722183331386,0.0582369726454455,0.0623378950937345,0.0609220110963992,0.123258677369088,0.0822532418029503,0.196603897814978,0.0541306471426134,0.0841512521499399,0.0697040643489979,0.0501131385852457,0.0837549624942932,0.113928918745731,0.121536713184887,0.083873652793225,0.117314544870098,0.161872696787604,0.106627954805893
"Marianne 3",0.0684227963029291,0.0652147813460268,0.0564214566004483,0.0430742597876983,0.0388926201939587,0.0392693092277493,0.0399831473313258,0.0528469741862512,0,0.0182121792985006,0.0629002366186017,0.0761516190057639,0.0303156290566203,0.0471322391730574,0.0228013614131295,0.0233166361929589,0.0344540140509095,0.0568152340379179,0.0575875925259157,0.051357086281397,0.048104845949713,0.0270909285338325,0.0553653271044649,0.0565510138938864,0.0561752066603097,0.0572442330829942,0.056195749300116,0.0565915495962046,0.0534070307092877,0.06457228778176,0.0576063004393943,0.0772863643905964,0.0588739733062556,0.0601118159833269,0.0763111899166662,0.0583197920803469,0.0629096346979904,0.124256368880064,0.0570630301244023,0.0244618622067535,0.0611009621630327,0.111618001815941,0.0764867512971706,0.177349147237486,0.057466968997762,0.080511678263002,0.0839180072000325,0.05460160054978,0.072277401506035,0.0989400981736582,0.113428375863382,0.0719263469795585,0.109346690748396,0.112214490330173,0.105912012757739
"Marianne 4",0.0778436746881704,0.0848293373210475,0.0782139614887562,0.0608297787247331,0.0482592076296667,0.0458336239437724,0.0511545963377616,0.0655329345247811,0.0182121792985006,0,0.0752933079838265,0.0850666097734393,0.0336018982866532,0.0555836869291776,0.0245369598763788,0.0267424846561417,0.037789475305303,0.074210557087203,0.0621396815915119,0.0536271178020854,0.0463549461719456,7.06021892956655e-17,0.0689897250162116,0.0686341510804084,0.0697480950776797,0.0752533685288264,0.0639638152356236,0.0727527111287083,0.0594612244850766,0.0761845247316056,0.0675787771010563,0.0833587740040108,0.0790376922956609,0.0743043674454938,0.0825880257176198,0.076569247903011,0.0763891081240611,0.122676990842906,0.0731546154214081,0.0246204771287936,0.0759587044040244,0.118105216422057,0.0907904358481606,0.1900115849412,0.0686256147203511,0.0915441340812816,0.0911863865893391,0.0684432365934792,0.087865233488848,0.105284834679238,0.113755715013493,0.0879677540548518,0.120152894622597,0.12748515432935,0.11957503891632
