"","jostd","location"
"Diego Martin",0.36307614282244,"Diego Martin"
"Curaguate",0.326674768918904,"Curaguate"
"Las Cuevas",0.342290620818921,"Las Cuevas"
"Yarra 1",0.415338530468022,"Yarra 1"
"Yarra 2",0.337560982394459,"Yarra 2"
"Damier 1",0.284458421278421,"Damier 1"
"Damier 2",0.346039039437404,"Damier 2"
"Marianne 16",0.376778757314182,"Marianne 16"
"Marianne 3",0.427334906165561,"Marianne 3"
"Marianne 4",0.416906111144348,"Marianne 4"
"Marianne 10",0.793659896861477,"Marianne 10"
"Marianne 11",0.809594960690433,"Marianne 11"
"Paria 12",0.392892289265449,"Paria 12"
"Paria 3",0.416607966886419,"Paria 3"
"Paria 13",0.349310303940855,"Paria 13"
"Paria 7",0.354611646454284,"Paria 7"
"Paria 8",0.371385412757919,"Paria 8"
"Shark river",0.43264580046274,"Shark river"
"San Souci",0.271413129468279,"San Souci"
"Mission River",0.721592752749464,"Mission River"
"Tompire",0.712897502706842,"Tompire"
"Cumana",0.904416296885769,"Cumana"
"Arima 1",0.256252387550891,"Arima 1"
"Arima 2",0.388202383503775,"Arima 2"
"El cedro 1",0.431709410372695,"El cedro 1"
"El cedro 2",0.294042521976409,"El cedro 2"
"Guanapo 1",0.350758340644794,"Guanapo 1"
"Guanapo 2",0.278905777752325,"Guanapo 2"
"Aripo 1",0.543878677387374,"Aripo 1"
"Aripo 2",0.269039800954105,"Aripo 2"
"Quare 1",0.369298185349422,"Quare 1"
"Quare 2",0.288558450928911,"Quare 2"
"Turure 2",0.273336085689244,"Turure 2"
"Turure 3",0.292407943586989,"Turure 3"
"La Seiva",0.42471852050879,"La Seiva"
"Matura",0.359577034650797,"Matura"
"Faecal Dump Road",0.305588188219635,"Faecal Dump Road"
"Poole River",0.204520883930433,"Poole River"
"Guayguayare Rd, pond",0.297586363384028,"Guayguayare Rd, pond"
"Basse Terre",0.75595312510739,"Basse Terre"
"Oropuche South",0.294857262868393,"Oropuche South"
"5th Company",0.399621234396117,"5th Company"
"Mondesir",0.313369180932416,"Mondesir"
"Silver Stream",0.406933647616471,"Silver Stream"
"Morne River",0.293128167804443,"Morne River"
"Pitch Lake",0.271791090569202,"Pitch Lake"
"Pitch lake",0.223925167376068,"Pitch lake"
"Vance River",0.31888008744108,"Vance River"
"Stollmeyer",0.300920406510248,"Stollmeyer"
"Point Fortin 1",0.363950192142396,"Point Fortin 1"
"Point Fortin 2",0.303435518404621,"Point Fortin 2"
"Snake River",0.288344643617216,"Snake River"
"Windward Rd.",0.289777286043697,"Windward Rd."
"Barbados",0.32839954455235,"Barbados"
"P. picta",0.277916956204596,"P. picta"
