"Generation","Allele","Count","Percentage"
"1","Allele_1",0,0.0
"1","Allele_2",0,0.0
"1","Allele_3",0,0.0
"1","Allele_4",0,0.0
"1","Allele_5",0,0.0
"1","Allele_6",6,30.000000000000004
"1","Allele_7",0,0.0
"1","Allele_8",0,0.0
"1","Allele_9",1,5.0
"1","Allele_10",0,0.0
"1","Allele_11",0,0.0
"1","Allele_12",2,10.0
"1","Allele_13",3,15.000000000000002
"1","Allele_14",6,30.000000000000004
"1","Allele_15",2,10.0
"2","Allele_1",0,0.0
"2","Allele_2",0,0.0
"2","Allele_3",0,0.0
"2","Allele_4",0,0.0
"2","Allele_5",0,0.0
"2","Allele_6",2,11.11111111111111
"2","Allele_7",0,0.0
"2","Allele_8",0,0.0
"2","Allele_9",1,5.555555555555555
"2","Allele_10",1,5.555555555555555
"2","Allele_11",0,0.0
"2","Allele_12",1,5.555555555555555
"2","Allele_13",6,33.33333333333333
"2","Allele_14",6,33.33333333333333
"2","Allele_15",1,5.555555555555555
"3","Allele_1",0,0.0
"3","Allele_2",0,0.0
"3","Allele_3",1,3.3333333333333335
"3","Allele_4",0,0.0
"3","Allele_5",1,3.3333333333333335
"3","Allele_6",3,10.0
"3","Allele_7",1,3.3333333333333335
"3","Allele_8",0,0.0
"3","Allele_9",0,0.0
"3","Allele_10",3,10.0
"3","Allele_11",0,0.0
"3","Allele_12",1,3.3333333333333335
"3","Allele_13",11,36.666666666666664
"3","Allele_14",4,13.333333333333334
"3","Allele_15",5,16.666666666666664
"4","Allele_1",0,0.0
"4","Allele_2",0,0.0
"4","Allele_3",0,0.0
"4","Allele_4",0,0.0
"4","Allele_5",1,2.272727272727273
"4","Allele_6",8,18.181818181818183
"4","Allele_7",0,0.0
"4","Allele_8",0,0.0
"4","Allele_9",1,2.272727272727273
"4","Allele_10",2,4.545454545454546
"4","Allele_11",0,0.0
"4","Allele_12",7,15.909090909090908
"4","Allele_13",16,36.36363636363637
"4","Allele_14",9,20.454545454545457
"4","Allele_15",0,0.0
"5","Allele_1",0,0.0
"5","Allele_2",0,0.0
"5","Allele_3",0,0.0
"5","Allele_4",0,0.0
"5","Allele_5",3,5.555555555555555
"5","Allele_6",13,24.074074074074073
"5","Allele_7",0,0.0
"5","Allele_8",0,0.0
"5","Allele_9",0,0.0
"5","Allele_10",7,12.962962962962962
"5","Allele_11",0,0.0
"5","Allele_12",6,11.11111111111111
"5","Allele_13",13,24.074074074074073
"5","Allele_14",11,20.37037037037037
"5","Allele_15",1,1.8518518518518516
"6","Allele_1",0,0.0
"6","Allele_2",0,0.0
"6","Allele_3",1,1.9607843137254901
"6","Allele_4",0,0.0
"6","Allele_5",5,9.803921568627452
"6","Allele_6",9,17.64705882352941
"6","Allele_7",0,0.0
"6","Allele_8",0,0.0
"6","Allele_9",0,0.0
"6","Allele_10",4,7.8431372549019605
"6","Allele_11",0,0.0
"6","Allele_12",6,11.76470588235294
"6","Allele_13",18,35.29411764705882
"6","Allele_14",5,9.803921568627452
"6","Allele_15",3,5.88235294117647
"7","Allele_1",0,0.0
"7","Allele_2",0,0.0
"7","Allele_3",0,0.0
"7","Allele_4",0,0.0
"7","Allele_5",4,8.0
"7","Allele_6",7,14.000000000000002
"7","Allele_7",0,0.0
"7","Allele_8",0,0.0
"7","Allele_9",5,10.0
"7","Allele_10",8,16.0
"7","Allele_11",0,0.0
"7","Allele_12",10,20.0
"7","Allele_13",12,24.0
"7","Allele_14",4,8.0
"7","Allele_15",0,0.0
"8","Allele_1",0,0.0
"8","Allele_2",0,0.0
"8","Allele_3",0,0.0
"8","Allele_4",0,0.0
"8","Allele_5",6,10.714285714285714
"8","Allele_6",9,16.07142857142857
"8","Allele_7",0,0.0
"8","Allele_8",0,0.0
"8","Allele_9",1,1.7857142857142856
"8","Allele_10",6,10.714285714285714
"8","Allele_11",0,0.0
"8","Allele_12",10,17.857142857142854
"8","Allele_13",16,28.57142857142857
"8","Allele_14",5,8.928571428571427
"8","Allele_15",3,5.357142857142857
"9","Allele_1",0,0.0
"9","Allele_2",0,0.0
"9","Allele_3",0,0.0
"9","Allele_4",0,0.0
"9","Allele_5",11,17.741935483870968
"9","Allele_6",9,14.516129032258062
"9","Allele_7",0,0.0
"9","Allele_8",0,0.0
"9","Allele_9",9,14.516129032258062
"9","Allele_10",7,11.29032258064516
"9","Allele_11",0,0.0
"9","Allele_12",11,17.741935483870968
"9","Allele_13",15,24.193548387096776
"9","Allele_14",0,0.0
"9","Allele_15",0,0.0
"10","Allele_1",0,0.0
"10","Allele_2",0,0.0
"10","Allele_3",0,0.0
"10","Allele_4",0,0.0
"10","Allele_5",6,11.11111111111111
"10","Allele_6",8,14.814814814814813
"10","Allele_7",0,0.0
"10","Allele_8",0,0.0
"10","Allele_9",4,7.4074074074074066
"10","Allele_10",6,11.11111111111111
"10","Allele_11",0,0.0
"10","Allele_12",11,20.37037037037037
"10","Allele_13",15,27.77777777777778
"10","Allele_14",2,3.7037037037037033
"10","Allele_15",2,3.7037037037037033
"11","Allele_1",0,0.0
"11","Allele_2",0,0.0
"11","Allele_3",0,0.0
"11","Allele_4",0,0.0
"11","Allele_5",9,16.363636363636363
"11","Allele_6",14,25.454545454545453
"11","Allele_7",0,0.0
"11","Allele_8",0,0.0
"11","Allele_9",7,12.727272727272727
"11","Allele_10",3,5.454545454545454
"11","Allele_11",0,0.0
"11","Allele_12",8,14.545454545454545
"11","Allele_13",12,21.818181818181817
"11","Allele_14",2,3.6363636363636362
"11","Allele_15",0,0.0
"12","Allele_1",0,0.0
"12","Allele_2",0,0.0
"12","Allele_3",0,0.0
"12","Allele_4",0,0.0
"12","Allele_5",5,11.111111111111112
"12","Allele_6",10,22.222222222222225
"12","Allele_7",1,2.2222222222222223
"12","Allele_8",0,0.0
"12","Allele_9",2,4.444444444444445
"12","Allele_10",9,20.0
"12","Allele_11",0,0.0
"12","Allele_12",7,15.555555555555555
"12","Allele_13",9,20.0
"12","Allele_14",2,4.444444444444445
"12","Allele_15",0,0.0
"13","Allele_1",0,0.0
"13","Allele_2",0,0.0
"13","Allele_3",0,0.0
"13","Allele_4",0,0.0
"13","Allele_5",5,12.82051282051282
"13","Allele_6",8,20.51282051282051
"13","Allele_7",0,0.0
"13","Allele_8",0,0.0
"13","Allele_9",3,7.6923076923076925
"13","Allele_10",4,10.256410256410255
"13","Allele_11",0,0.0
"13","Allele_12",10,25.64102564102564
"13","Allele_13",7,17.94871794871795
"13","Allele_14",2,5.128205128205128
"13","Allele_15",0,0.0
"14","Allele_1",0,0.0
"14","Allele_2",0,0.0
"14","Allele_3",0,0.0
